iter	Passed	Remaining
0	1	152
1	2	143
2	3	126
3	4	111
4	5	109
5	6	109
6	7	105
7	8	101
8	9	99
9	10	97
10	11	95
11	12	93
12	13	92
13	14	91
14	15	89
15	16	88
16	17	87
17	18	85
18	19	84
19	21	84
20	22	83
21	23	82
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	30	72
30	31	71
31	32	69
32	34	69
33	34	67
34	36	67
35	37	66
36	38	65
37	39	64
38	40	62
39	41	61
40	42	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	93	5
94	94	4
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
