iter	Passed	Remaining
0	129	129492
1	131	65628
2	133	44274
3	134	33483
4	135	27021
5	136	22681
6	139	19823
7	141	17526
8	142	15727
9	144	14259
10	145	13113
11	147	12170
12	149	11331
13	150	10630
14	152	10007
15	157	9703
16	159	9220
17	160	8763
18	161	8347
19	163	7999
20	164	7661
21	165	7352
22	166	7068
23	167	6812
24	169	6615
25	170	6402
26	172	6216
27	173	6024
28	174	5858
29	176	5691
30	177	5535
31	178	5388
32	179	5253
33	180	5125
34	183	5051
35	184	4949
36	186	4849
37	187	4750
38	188	4657
39	190	4564
40	191	4475
41	192	4396
42	195	4342
43	200	4346
44	201	4281
45	203	4217
46	205	4162
47	206	4093
48	207	4028
49	211	4014
50	213	3967
51	214	3915
52	216	3861
53	219	3843
54	220	3795
55	222	3745
56	223	3694
57	228	3703
58	229	3660
59	231	3619
60	233	3600
61	235	3556
62	236	3513
63	237	3471
64	238	3429
65	244	3453
66	245	3421
67	247	3394
68	249	3361
69	250	3325
70	251	3289
71	252	3255
72	253	3224
73	257	3219
74	259	3194
75	260	3170
76	261	3139
77	263	3109
78	264	3082
79	265	3055
80	266	3027
81	269	3011
82	269	2979
83	272	2975
84	275	2962
85	276	2940
86	278	2922
87	280	2904
88	281	2882
89	282	2858
90	283	2834
91	287	2833
92	289	2819
93	290	2801
94	292	2783
95	293	2763
96	294	2742
97	295	2721
98	296	2701
99	297	2681
100	298	2660
101	299	2640
102	303	2639
103	304	2620
104	305	2600
105	306	2581
106	307	2563
107	308	2546
108	309	2528
109	310	2510
110	311	2493
111	312	2476
112	313	2460
113	314	2443
114	317	2443
115	319	2431
116	319	2415
117	321	2401
118	322	2389
119	323	2375
120	324	2360
121	325	2344
122	326	2330
123	327	2316
124	328	2302
125	330	2289
126	332	2285
127	333	2274
128	334	2261
129	335	2248
130	337	2237
131	338	2224
132	339	2211
133	340	2198
134	341	2186
135	342	2175
136	343	2163
137	344	2150
138	345	2139
139	348	2139
140	349	2128
141	350	2115
142	351	2104
143	352	2093
144	353	2082
145	354	2071
146	355	2062
147	357	2055
148	358	2047
149	359	2037
150	360	2026
151	363	2026
152	364	2016
153	365	2007
154	366	1999
155	368	1992
156	369	1982
157	370	1973
158	371	1964
159	372	1955
160	373	1944
161	374	1935
162	375	1926
163	378	1928
164	380	1923
165	381	1916
166	382	1909
167	384	1904
168	386	1899
169	387	1893
170	389	1889
171	394	1897
172	396	1897
173	398	1892
174	399	1885
175	401	1879
176	402	1872
177	403	1864
178	404	1856
179	405	1848
180	408	1849
181	409	1841
182	410	1833
183	411	1826
184	412	1818
185	413	1810
186	414	1803
187	415	1795
188	416	1788
189	417	1780
190	418	1773
191	419	1765
192	420	1758
193	423	1759
194	425	1756
195	426	1750
196	427	1743
197	428	1736
198	430	1732
199	431	1726
200	432	1720
